variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1225.65,1225.65,1.5666440936185373,1.2582920383416933,1.2315115085518287,1.5666440936185373
wn_1229.51,1229.51,1.5658999852351645,1.2581778975414961,1.2305157248543042,1.5658999852351645
wn_1223.72,1223.72,1.5642574592445975,1.2568853237865742,1.2300260640995522,1.5642574592445975
wn_1231.44,1231.44,1.5627347697035554,1.2566615217577992,1.228127008307068,1.5627347697035554
wn_885.94,885.94,1.562470087944187,1.2588299922276995,1.1934033242448217,1.562470087944187
wn_1071.24,1071.24,1.5613022599179394,1.3330769115300127,1.2572179834358883,1.5613022599179394
wn_1221.79,1221.79,1.55987959152451,1.2544605584328128,1.2271640774595307,1.55987959152451
wn_1233.37,1233.37,1.557531831942226,1.2541403047817148,1.2245410436476591,1.557531831942226
wn_1219.86,1219.86,1.5532881255693145,1.250981519850991,1.2228909881961496,1.5532881255693145
wn_1073.17,1073.17,1.551769419872379,1.3251066957638042,1.2495677636499882,1.551769419872379
wn_1235.3,1235.3,1.5500859926895727,1.250581115034479,1.2198023162444973,1.5500859926895727
wn_1217.93,1217.93,1.544241541620868,1.2464575360553,1.217203115653153,1.544241541620868
wn_1075.1,1075.1,1.5410870234495742,1.3164365876164954,1.241340366435871,1.5410870234495742
wn_1237.23,1237.23,1.5401927297149804,1.245974108689289,1.213961827963522,1.5401927297149804
