cluster,wavenumber,median_absorbance,q25_absorbance,q75_absorbance,mean_absorbance,n
1,3287.0589034557343,0.0359046570956707,0.03415817208588123,0.046036237850785255,0.04018366771439711,15
1,3285.1287455558777,0.035904645919799805,0.03418121300637722,0.04605385102331638,0.04020793202022711,15
1,3283.198587656021,0.035895440727472305,0.034192804247140884,0.046050967648625374,0.04021670992175738,15
1,3281.2684297561646,0.035874392837285995,0.0341914389282465,0.046025440096855164,0.04020810884733995,15
1,3279.338271856308,0.035839539021253586,0.034176334738731384,0.0459761880338192,0.04018080954750379,15
1,3277.4081139564514,0.035790249705314636,0.034147949889302254,0.04590401612222195,0.04013498226801555,15
1,3275.477956056595,0.035726986825466156,0.03410775773227215,0.0458114929497242,0.040072447682420416,15
1,3273.5477981567383,0.035650186240673065,0.03405709005892277,0.045700954273343086,0.03999506756663322,15
1,3271.6176402568817,0.035559263080358505,0.033995842561125755,0.04557279124855995,0.03990310256679853,15
1,3269.687482357025,0.03545280173420906,0.03392287716269493,0.04542626440525055,0.03979564023514589,15
1,3267.7573244571686,0.03532986715435982,0.03383779525756836,0.04526134207844734,0.03967236615717411,15
1,3265.827166557312,0.03519050404429436,0.03374120406806469,0.04507898725569248,0.039534039547046027,15
1,3263.8970086574554,0.03503493219614029,0.033633435145020485,0.044880131259560585,0.039381386960546175,15
1,3261.966850757599,0.03486330434679985,0.03351431526243687,0.04466545023024082,0.03921462061504523,15
1,3260.0366928577423,0.034676287323236465,0.03338397294282913,0.044436121359467506,0.0390342560907205,15
1,3258.1065349578857,0.0344754196703434,0.033243583515286446,0.044194549322128296,0.038842097669839856,15
1,3256.176377058029,0.03427542373538017,0.03309568576514721,0.04394460842013359,0.03864148234327634,15
1,3254.2462191581726,0.03413979709148407,0.03294326737523079,0.043690841645002365,0.038436303536097206,15
1,3252.316061258316,0.03400131314992905,0.03277955390512943,0.04343637451529503,0.038229227811098096,15
1,3250.3859033584595,0.03386111184954643,0.032605355605483055,0.04318172484636307,0.03802100916703542,15
1,3248.455745458603,0.03371945396065712,0.032431041821837425,0.04292603023350239,0.037811524048447606,15
1,3246.5255875587463,0.03357639163732529,0.032256802543997765,0.04266899451613426,0.03760110512375832,15
1,3244.5954296588898,0.03343251720070839,0.03208297677338123,0.04241158999502659,0.03739101340373357,15
1,3242.665271759033,0.03328917548060417,0.03190993145108223,0.042155349627137184,0.03718283449610074,15
1,3240.7351138591766,0.033147770911455154,0.03173820488154888,0.04190146364271641,0.03697764612734318,15
1,3238.80495595932,0.03300894796848297,0.03156868368387222,0.041650768369436264,0.03677600671847661,15
1,3236.8747980594635,0.03287287428975105,0.03140228893607855,0.04140406660735607,0.03657829239964485,15
1,3234.944640159607,0.0327400378882885,0.031239699572324753,0.04116216115653515,0.036384835839271545,15
1,3233.0144822597504,0.03261153772473335,0.03108196146786213,0.04092620313167572,0.036196559046705566,15
1,3231.084324359894,0.032488662749528885,0.030930710025131702,0.04069795832037926,0.03601532354950905,15
1,3229.1541664600372,0.03237195685505867,0.030786843970417976,0.04047846607863903,0.03584245430926482,15
